Followers,No_of_Employees ,Company,Class
-0.5960570901748771,-2.02949544163965,Fifth Column,Class3
-0.5950865480613817,-1.9703380115791003,RADIANT,Class3
-0.3805210729438002,0.45312813585939293,Jio,Class1
-0.5518729314626322,-1.9703380115791003,Hyqoo,Class3
-0.37879046533026145,0.45312813585939293,Dr. Reddy's Laboratories,Class1
-0.5593152809685592,1.6959312883919535,DMart - Avenue Supermarts Ltd,Class1
-0.5379541946568851,0.45312813585939293,Ipca Laboratories Limited,Class1
-0.5063102206265201,0.45312813585939293,Birlasoft,Class1
-0.38539847518589193,0.45312813585939293,Nagarro,Class1
-0.5799009690467596,-1.6596372234459602,FNP,Class3
-0.5943248895500728,-1.8584857278511697,NationsBenefits India,Class3
-0.5063102206265201,0.45312813585939293,BlackRock,Class1
-0.5063102206265201,0.45312813585939293,Delta Air Lines,Class1
-0.380520873817392,0.45312813585939293,Infosys,Class1
-0.2388239156375618,0.45312813585939293,IndusInd Bank,Class1
-0.3396276772532262,0.45312813585939293,Bureau Veritas Group,Class1
1.1085788641971104,0.45312813585939293,Qatar Airways,Class2
-0.3490895667909689,0.45312813585939293,Marsh McLennan,Class1
-0.38164195549547547,0.45312813585939293,Infosys BPM,Class1
-0.1282072046265239,0.45312813585939293,LTIMindtree,Class1
-0.4838871931799935,0.45312813585939293,NAB,Class1
-0.33682338004675205,0.45312813585939293,Infogain,Class1
0.15146045925676432,0.45312813585939293,Tata Consultancy Services,Class1
1.1085798598291512,0.45312813585939293,Asian Paints,Class2
-0.5086913742156003,0.45312813585939293,Sony India Software Centre,Class1
-0.5086913742156003,0.45312813585939293,Rakuten India,Class1
-0.4838871931799935,0.45312813585939293,EaseMyTrip.com,Class1
-0.5316908726138234,1.6959312883919535,Hitachi Astemo,Class1
2.3279359958915062,0.45312813585939293,Grant Thornton Bharat LLP,Class2
-0.4985837177361125,0.45312813585939293,CARS24,Class1
-0.23882232262629632,0.45312813585939293,Gameskraft,Class1
-0.5063096232472954,0.45312813585939293,HDFC securities,Class1
-0.5871252751357237,-0.5411143861666555,Pidilite Industries Limited,Class4
-0.547877061829577,-0.5411143861666555,PcsInfinity Pvt. Ltd.,Class4
-0.5732764316992497,-1.6596372234459602,Tata Communications Transformation Services (TCTS),Class3
-0.5812697639766256,0.45312813585939293,Happiest Minds Technologies,Class1
-0.5168246923579305,1.6959312883919535,BT Group,Class1
-0.5319953368919388,1.6959312883919535,HTC Global Services,Class1
-0.5834543798008269,-1.6596372234459602,Panamax Infotech,Class3
-0.5779497293729514,-0.5411143861666555,Datamatics,Class4
-0.4869642935656816,-0.5411143861666555,KPIT,Class4
2.327939381040445,0.45312813585939293,Iron Mountain,Class2
-0.5922085740838791,-1.9703380115791003,Insight Global,Class3
-0.5739241899050767,1.6959312883919535,WNS,Class1
-0.5594592493616772,1.6959312883919535,Careernet,Class1
-0.4592510748328952,0.45312813585939293,iLink Digital,Class1
-0.42232885710076135,0.45312813585939293,Wipro,Class1
-0.483886595800769,0.45312813585939293,Morgan Stanley,Class1
-0.5839721084621088,-1.8584857278511697,PUMA Group,Class3
-0.4838863966743608,0.45312813585939293,Alp Consulting Ltd.,Class1
-0.5534980020798327,0.45312813585939293,Oracle,Class1
-0.5006044525263773,1.6959312883919535,Truemeds India,Class1
-0.4825347266155987,0.45312813585939293,Atos,Class1
2.327942965315793,0.45312813585939293,Mastek,Class2
-0.13102623718720374,-0.5411143861666555,Genpact,Class4
-0.39619869331304836,0.45312813585939293,HARMAN International,Class1
0.15146284877366253,0.45312813585939293,EarnYoung,Class1
-0.5652470575419922,-0.5411143861666555,Deloitte,Class4
-0.5904184276742929,-0.5411143861666555,Policybazaar.com,Class4
1.1206335786958344,0.45312813585939293,Tata Elxsi,Class2
-0.002465449028952166,0.45312813585939293,Saint-Gobain Research India,Class1
-0.35105733395665645,0.45312813585939293,Omnicom Media Group India,Class1
-0.5454988951366194,-0.5411143861666555,"Georgia IT, Inc.",Class4
1.2821995690108061,0.45312813585939293,Hexaware Technologies,Class2
-0.586072692942056,-1.8584857278511697,Allianz Partners,Class3
-0.1898400139824174,0.45312813585939293,NTT Ltd.,Class1
-0.5558277810556012,1.6959312883919535,Redrob by McKinley Rice,Class1
0.1538892040574009,0.45312813585939293,Hitachi Energy,Class1
-0.5007926269821125,0.45312813585939293,Reliance Industries Limited,Class1
0.1514636452792953,0.45312813585939293,Roku,Class1
-0.5886732838329565,-2.02949544163965,Kotak Mutual Fund,Class3
2.388863499509607,0.45312813585939293,BluSmart,Class2
-0.55581364308062,-0.5411143861666555,Quess IT Staffing,Class4
2.327945553959099,0.45312813585939293,S&P Global,Class2
-0.5079653593313566,0.45312813585939293,Epsilon India,Class1
-0.3490889694117444,0.45312813585939293,HARMAN India,Class1
2.327945553959099,0.45312813585939293,Aspire Higher HR Solutions,Class2
2.3279459522119157,0.45312813585939293,Invest India,Class2
-0.581346427643777,-1.9703380115791003,dentsu,Class3
1.1085876257590705,0.45312813585939293,Google,Class2
-0.5846730334189212,-1.8584857278511697,Cognizant,Class3
-0.5873208172685617,-1.9703380115791003,iEnergizer,Class3
-0.34121132957752415,0.45312813585939293,Inteliwaves,Class1
2.3279467487175483,0.45312813585939293,Virtusa,Class2
-0.33682218528830293,0.45312813585939293,TÜV SÜD,Class1
-0.5592099430986291,0.45312813585939293,Arm,Class1
-0.2388197339829899,0.45312813585939293,PW (PhysicsWallah),Class1
-0.4788261963895549,0.45312813585939293,Citi,Class1
-0.5063082293624382,0.45312813585939293,Technip Energies,Class1
-0.576012229421308,-1.9703380115791003,Orange Business,Class3
0.15146543741696894,0.45312813585939293,Capgemini Engineering,Class1
-0.4214696266494416,0.45312813585939293,UNIVO Education,Class1
-0.5063082293624382,0.45312813585939293,ANZ,Class1
0.15146543741696894,0.45312813585939293,Regalix,Class1
0.16985177431676227,0.45312813585939293,Navis,Class1
-0.5472816738691028,-0.5411143861666555,Lowe's India,Class4
0.15146543741696894,0.45312813585939293,HT Digital Streams,Class1
-0.5856079319053514,-1.8584857278511697,airtel,Class3
-0.5610106432078492,-1.9703380115791003,Saint-Gobain Technical Insulation,Class3
2.3279491382344464,0.45312813585939293,Purplle.com,Class2
-0.5087566876774852,0.45312813585939293,H&M,Class1
0.1538919918271155,0.45312813585939293,Recmatrix Consulting,Class1
-0.48388480366309533,0.45312813585939293,KPMG India,Class1
-0.5319949386391224,1.6959312883919535,T&N Business Services,Class1
-0.4939464619422923,0.45312813585939293,Gleren Technologies,Class1
-0.5223474632889509,-0.5411143861666555,Sercomm,Class4
-0.5702871460595714,1.6959312883919535,Schbang,Class1
-0.5954190891630513,-2.02949544163965,Capgemini,Class3
-0.5626592107412156,-1.9703380115791003,DXFactor,Class3
-0.3532449366769806,0.45312813585939293,Cummins India,Class1
5.867372456885257,0.45312813585939293,Synchrony,Class2
0.8353075387975516,0.45312813585939293,Microsoft,Class1
2.3279511294985284,0.45312813585939293,Novo Nordisk,Class2
-0.5772091782609101,0.45312813585939293,Tech Mahindra,Class1
0.1514664330490099,0.45312813585939293,Godrej & Boyce Mfg. Co. Ltd.,Class1
-0.5885938323960905,-1.9703380115791003,Great Learning,Class3
-0.3412109313247078,0.45312813585939293,Chakr Innovation,Class1
-0.3681614959141444,0.45312813585939293,Unicommerce,Class1
-0.532310354869688,0.45312813585939293,Meril,Class1
-0.48388460453668714,0.45312813585939293,Havas Media Network,Class1
-0.5053386828809838,1.6959312883919535,EXL,Class1
-0.4978029430896178,1.6959312883919535,Milliman,Class1
0.24493696643043275,0.45312813585939293,EY,Class1
-0.5041250074230942,0.45312813585939293,TEKsystems,Class1
-0.45599296854216664,0.45312813585939293,Quick Heal,Class1
-0.1809097919545295,0.45312813585939293,,Class1
-0.5894301633104689,-0.5411143861666555,3M,Class4
2.3279557094059165,0.45312813585939293,Unacademy,Class2
2.327956107658733,0.45312813585939293,Lockton,Class2
1.108592603919275,0.45312813585939293,Teach For India,Class2
-0.5652470575419922,-0.5411143861666555,Shell,Class4
-0.47120184534654647,0.45312813585939293,GE Vernova,Class1
-0.5804511553125756,-0.5411143861666555,Airtel Digital,Class4
-0.5821514957120703,-1.6596372234459602,Ecolab Digital Center,Class3
-0.5283953305583561,-0.5411143861666555,Infor,Class4
-0.5793752753291502,-1.6596372234459602,Applicantz,Class3
-0.4223258702046386,0.45312813585939293,Ami Lifesciences Pvt. Ltd.,Class1
-0.3412097365662587,0.45312813585939293,Urban Company,Class1
0.8353099283144498,0.45312813585939293,Advarra,Class1
-0.3361580987170048,0.45312813585939293,Housr,Class1
-0.5945666290096098,0.45312813585939293,PTC,Class1
0.15146742868105081,0.45312813585939293,HCLTech,Class1
-0.5259408984510635,-0.5411143861666555,Goldman Sachs,Class4
-0.10268796065912353,0.45312813585939293,EMotorad,Class1
-0.5957122032359001,-2.02949544163965,MRI Software,Class3
-0.23881634883405076,0.45312813585939293,Intel Corporation,Class1
-0.18356076182670092,0.45312813585939293,Truelancer.com,Class1
-0.3412095374398505,0.45312813585939293,KnowledgeWorks Global Ltd.,Class1
2.327958098922815,0.45312813585939293,WN Infotech,Class2
-0.583771389042658,-0.5411143861666555,DataE2E Technologies,Class4
-0.5953806577662715,-2.0175645313753376,Embee Software Pvt. Ltd.,Class3
-0.5855910061606556,1.6959312883919535,slice,Class1
2.327958497175631,0.45312813585939293,ZARA SA,Class2
-0.48388400715746255,0.45312813585939293,SLB,Class1
-0.5425687500401721,-0.5411143861666555,IKEA,Class4
1.120642937637019,0.45312813585939293,Gestamp,Class2
0.709412256739269,0.45312813585939293,PeopleLogic,Class1
-0.5916773048268406,-1.9703380115791003,Thomson Reuters,Class3
-0.5582296437911327,0.45312813585939293,Ford Motor Solutions,Class1
1.1085959890682142,0.45312813585939293,TELUS International AI Data Solutions,Class2
-0.5688199826840618,0.45312813585939293,HP,Class1
-0.33962488948351155,0.45312813585939293,Airtel Payments Bank,Class1
2.327960289313305,0.45312813585939293,Infosys Finacle,Class2
3.8005974506574924,0.45312813585939293,SMC Squared India,Class2
-0.22895421521585543,0.45312813585939293,ManipalCigna Health Insurance Company Ltd.,Class1
-0.5259406993246554,-0.5411143861666555,Unisys,Class4
0.5362748317182392,0.45312813585939293,Syngene International Limited,Class1
2.3279610858189375,0.45312813585939293,Volvo Group,Class2
-0.49097569505857525,0.45312813585939293,GEP Worldwide,Class1
0.1514686234394999,0.45312813585939293,Premier International,Class1
-0.5463495631523871,-0.5411143861666555,SurveySparrow,Class4
-0.5259406993246554,-0.5411143861666555,Blenheim Chalcot India,Class4
-0.5927061909779342,-1.6596372234459602,OYO,Class3
-0.10268736327989898,0.45312813585939293,ROYALCHEMICALS,Class1
-0.5610102449550328,-1.9703380115791003,JioSaavn,Class3
-0.5843693656464386,-1.8584857278511697,Isha Foundation,Class3
2.327963276209428,0.45312813585939293,Lepton Software,Class2
1.1085993742171534,0.45312813585939293,NICE,Class2
-0.5283947331791314,-0.5411143861666555,Hilti India,Class4
-0.5727093196887378,-0.5411143861666555,Enphase Energy,Class4
-0.5210362158910504,1.6959312883919535,Curefit - house of cult,Class1
-0.427815387025492,0.45312813585939293,Applied Materials,Class1
-0.5760102381572262,-1.9703380115791003,Atlas Copco Group,Class3
2.3279652674735094,0.45312813585939293,Nayara Energy,Class2
-0.5829772729268149,-0.5411143861666555,Syngenta,Class4
1.132131137504456,0.45312813585939293,STEAG Energy Services (India) Pvt. Ltd,Class2
-0.417055392432789,0.45312813585939293,Anblicks,Class1
2.32796626310555,0.45312813585939293,Meine Kuche (I) Pvt. Ltd.,Class2
-0.5824376403606326,-0.5411143861666555,Intozi,Class4
-0.5961500822074997,-2.0324781692057283,InfoVision Inc.,Class3
-0.16914978453991972,0.45312813585939293,Firstsource,Class1
0.1514702164507654,0.45312813585939293,Dun & Bradstreet Technology and Corporate Services India LLP,Class1
-0.4036073904559921,1.6959312883919535,Mobileum,Class1
2.327967059611183,0.45312813585939293,Dover India,Class2
-0.5433708312123426,0.45312813585939293,Expert Global Group,Class1
-0.5577523377907124,-1.8584857278511697,Careerfit.ai,Class3
-0.23881336193792796,0.45312813585939293,Restroworks,Class1
0.6831160215271295,0.45312813585939293,PloPdo,Class1
-0.17767597908559957,0.45312813585939293,Tata Technologies,Class1
2.327968652622449,0.45312813585939293,Advantmed India LLP,Class2
-0.5465148380711811,-0.5411143861666555,Kotak Mahindra Bank,Class4
-0.5847628394290129,-1.8584857278511697,Airtel Business,Class3
2.327969250001673,0.45312813585939293,Fint Solutions,Class2
-0.42959916139001625,0.45312813585939293,Mirchi,Class1
0.15147121208280634,0.45312813585939293,Ankyah Infinity Pvt. Ltd.,Class1
-0.4878593667704747,-1.8584857278511697,Boeing,Class3
-0.4939454663102514,0.45312813585939293,Thiess,Class1
2.327969847380898,0.45312813585939293,Lennox India Technology Centre,Class2
-0.5896269002017561,-0.5411143861666555,NetApp,Class4
-0.545498496883803,-0.5411143861666555,Qrata,Class4
1.1206518983253875,0.45312813585939293,Fractal,Class2
-0.5200971357500483,-0.5411143861666555,Flowserve Corporation,Class4
-0.42232288330851575,0.45312813585939293,Games24x7,Class1
-0.5886151389217664,-1.6596372234459602,Accenture in India,Class3
-0.5751466269249265,-1.9703380115791003,Sanofi,Class3
1.1086047506301744,0.45312813585939293,bytecitadel,Class2
-0.2289522239517736,0.45312813585939293,Synechron,Class1
-0.4838826132726053,0.45312813585939293,Broadcom,Class1
-0.5303774348254329,1.6959312883919535,UBS,Class1
0.6050951087775825,0.45312813585939293,Juniper Networks,Class1
0.15147180946203087,0.45312813585939293,Network18 Media & Investments Limited,Class1
-0.5594584528560445,1.6959312883919535,Wood Mackenzie,Class1
-0.39619471078488466,0.45312813585939293,Northern Trust,Class1
0.24794974898627695,0.45312813585939293,UST,Class1
-0.5853046623856851,-1.8584857278511697,ITC Infotech,Class3
-0.5950855524293408,-1.9703380115791003,Rently,Class3
0.15390612980209667,0.45312813585939293,Astrosoft Technologies,Class1
-0.5871252751357237,-0.5411143861666555,AB InBev GCC India,Class4
-0.5838956439213656,-0.5411143861666555,The Timken Company,Class4
0.10515361303326363,0.45312813585939293,Siemens Gamesa,Class1
-0.5409705614880767,-1.8584857278511697,DIAGEO India,Class3
-0.5926828931881765,-0.5411143861666555,Jubilant Generics Limited,Class4
-0.5957892651558678,-1.8584857278511697,Cyfuture,Class3
-0.5949109185693623,-2.02949544163965,Upstox,Class3
-0.5885938323960905,-1.9703380115791003,Emerson,Class3
-0.5688193853048372,0.45312813585939293,Silicon Valley Bank,Class1
