,job_id,Company,Designation,Location,company_id,details_id
0,jb_1,Fifth Column,Architect / Interior Designer,"Vadodara, Gujarat, India (On-site)",cp_1,dt_1
1,jb_2,RADIANT,Economic Development Officer,"Srinagar, Jammu & Kashmir, India (On-site)",cp_2,dt_2
2,jb_3,Jio,Product Manager - Cyber Security || Mumbai/Bangalore,"Navi Mumbai, Maharashtra, India (On-site)",cp_3,dt_3
3,jb_4,Hyqoo,Data Analyst,India (Remote),cp_4,dt_4
4,jb_5,Dr. Reddy's Laboratories,Area Business Manager ( individual Role),"Chennai, Tamil Nadu, India (On-site)",cp_5,dt_5
5,jb_6,DMart - Avenue Supermarts Ltd,DGM- Business Development/ Property Acqusition,"Mumbai, Maharashtra, India (On-site)",cp_6,dt_6
6,jb_7,Ipca Laboratories Limited,Asst Manager EHS,"Mahad, Maharashtra, India (On-site)",cp_7,dt_7
7,jb_8,Birlasoft,SAP CPI CONSULTANT,"Pune, Maharashtra, India (Hybrid)",cp_8,dt_8
8,jb_9,Nagarro,Javascript Fullstack Developer,"Gurugram, Haryana, India (Hybrid)",cp_9,dt_9
9,jb_10,FNP,Head Corporate Sales (Corporate Gifting),"Gurugram, Haryana, India (On-site)",cp_10,dt_10
10,jb_11,NationsBenefits India,Azure SQL Developer,"Hyderabad, Telangana, India (On-site)",cp_11,dt_11
11,jb_12,Birlasoft,Sr Lead Consultant OIC,"Mulshi, Maharashtra, India (On-site)",cp_8,dt_12
12,jb_13,Birlasoft,JDE CNC Consultant,"Mumbai, Maharashtra, India (Hybrid)",cp_8,dt_13
13,jb_14,Jio,Java Technical Lead,"Bengaluru, Karnataka, India (On-site)",cp_3,dt_14
14,jb_15,BlackRock,"Vice President, Data Workflow Engineering",Mumbai Metropolitan Region (Hybrid),cp_12,dt_15
15,jb_16,Delta Air Lines,Engineering Leader [T500-11077],"Bengaluru, Karnataka, India (On-site)",cp_13,dt_16
16,jb_17,Infosys,Python - Network Automation and CPE Tester,"Bengaluru East, Karnataka, India (On-site)",cp_14,dt_17
17,jb_18,IndusInd Bank,Lead – Data Scientist,"Gurugram, Haryana, India (On-site)",cp_15,dt_18
18,jb_19,Bureau Veritas Group,Internal ITSM Process Auditor (ITSM/ISO 20K),"Noida, Uttar Pradesh, India (Hybrid)",cp_16,dt_19
19,jb_20,Qatar Airways,Regional Manager Indian Subcontinent,"Mumbai, Maharashtra, India (On-site)",cp_17,dt_20
20,jb_21,Marsh McLennan,SQL Database Administrator,"Noida, Uttar Pradesh, India (Hybrid)",cp_18,dt_21
21,jb_22,Infosys BPM,Walk-in For Freshers - Data Skill at Pune on 30th March,"Pune, Maharashtra, India (On-site)",cp_19,dt_22
22,jb_23,LTIMindtree,Immediate Hiring for SQL DBA,"Delhi, India (On-site)",cp_20,dt_23
23,jb_24,Infosys,Java Developer,"Bengaluru East, Karnataka, India",cp_14,dt_24
24,jb_25,NAB,AVP || Risk & Compliance,"Gurugram, Haryana, India (On-site)",cp_21,dt_25
25,jb_26,NAB,AVP || Risk & Compliance,"Gurugram, Haryana, India (On-site)",cp_21,dt_26
26,jb_27,Marsh McLennan,SQL Database Administrator,"Gurugram, Haryana, India (Hybrid)",cp_18,dt_27
27,jb_28,Infogain,Data Engineer,"Noida, Uttar Pradesh, India (Hybrid)",cp_22,dt_28
28,jb_29,Tata Consultancy Services,Storage Administrator,"Bengaluru, Karnataka, India (On-site)",cp_23,dt_29
29,jb_30,Asian Paints,Assistant Manager - Services,"Kochi, Kerala, India (On-site)",cp_24,dt_30
30,jb_31,BlackRock,"Director, Regulatory Controls",Mumbai Metropolitan Region (Hybrid),cp_12,dt_31
31,jb_32,Birlasoft,Sr Technical Lead,Greater Bengaluru Area (On-site),cp_8,dt_32
32,jb_33,Sony India Software Centre,HANA ABAP Interface Technical Architect,"Bengaluru, Karnataka, India (On-site)",cp_25,dt_33
33,jb_34,Rakuten India,Senior Director - Database Operations,"Bangalore Urban, Karnataka, India (Hybrid)",cp_26,dt_34
34,jb_35,EaseMyTrip.com,Dotnet Developer,"Gurugram, Haryana, India (On-site)",cp_27,dt_35
35,jb_36,Hitachi Astemo,Process Engineer,"Jalgaon, Maharashtra, India (On-site)",cp_28,dt_36
36,jb_37,Grant Thornton Bharat LLP,AM - Valuations,Greater Bengaluru Area (Hybrid),cp_29,dt_37
37,jb_38,CARS24,Product Designer,"Gurugram, Haryana, India (On-site)",cp_30,dt_38
38,jb_39,Gameskraft,Assistant Manager - CRM,"Bengaluru, Karnataka, India (On-site)",cp_31,dt_39
39,jb_40,HDFC securities,Head Internal Audit,"Mumbai, Maharashtra, India (On-site)",cp_32,dt_40
